transaction_id,date,store_id,customer_id,product_id,quantity,payment_method,discount_pct,unit_price,line_total
T500034,2024-08-21,S111,C1166,P10053,3,QR,0.0,7.93,23.79
T500035,2024-08-08,S110,C1153,P10114,1,Cash,0.0,18.04,18.04
T500036,2024-11-18,S102,C1006,P10027,2,Card,0.0,4.58,9.16
T500037,2024-12-04,S101,C1196,P10078,1,QR,0.0,5.0,5.0
T500038,2024-01-03,S101,C1045,P10018,1,QR,0.0,10.33,10.33
T500039,2024-06-30,S110,C1017,P10075,1,Card,0.0,12.8,12.8
T500040,2024-07-24,S103,C1152,P10113,3,Cash,0.0,2.78,8.34
T500041,2024-11-15,S103,C1263,P10047,1,Cash,0.0,4.44,4.44
T500042,2024-02-09,S103,C1073,P10001,1,Cash,0.0,1.69,1.69
T500043,2024-02-28,S103,C1144,P10010,2,Card,0.0,5.88,11.76
T500044,2024-03-02,S101,C1101,P10043,1,Card,0.0,8.57,8.57
T500045,2024-05-11,S103,C1120,P10100,2,Card,0.0,13.63,27.26
T500046,2024-02-29,S111,C1175,P10058,1,Card,0.0,10.95,10.95
T500047,2024-11-26,S110,C1062,P10058,3,Card,0.15,11.57,29.5
T500048,2024-05-01,S106,C1295,P10119,1,Card,0.0,14.09,14.09
T500049,2024-04-16,S100,C1083,P10037,2,QR,0.0,11.62,23.24
T500050,2024-04-05,S103,C1014,P10024,1,Cash,0.1,9.4,8.46
T500051,2024-12-12,S104,C1133,P10106,1,Card,0.1,8.16,7.34
T500052,2024-08-22,S103,C1120,P10020,-1,Card,0.0,2.87,-2.87
T500053,2024-03-02,S110,C1127,P10041,3,Card,0.05,9.96,28.39
T500054,2024-09-12,S104,C1287,P10035,1,QR,0.0,1.48,1.48
T500055,2024-02-18,S101,C1179,P10008,2,Cash,0.05,4.3,8.17
T500056,2024-12-13,S110,C1081,P10011,1,Cash,0.0,9.38,9.38
T500057,2024-06-07,S111,C1012,P10009,1,Cash,0.0,6.04,6.04
T500058,2024-05-03,S101,C1023,P10058,1,Cash,0.0,11.37,11.37
T500059,2024-11-12,S103,C1167,P10109,2,Card,0.2,5.54,8.86
T500060,2024-07-25,S103,C1269,P10004,2,Cash,0.0,13.92,27.84
T500061,2024-02-17,S103,C1069,P10032,3,Cash,0.0,4.8,14.4
T500062,2024-05-15,S102,C1088,P10068,3,Card,0.0,3.95,11.85
T500063,2024-07-19,S103,C1188,P10079,1,Card,0.0,7.05,7.05
T500064,2024-09-06,S111,C1256,P10062,2,Card,0.0,9.33,18.66
T500065,2024-11-09,S103,C1216,P10100,1,Card,0.0,12.69,12.69
T500066,2024-12-22,S101,C1031,P10100,2,Card,0.0,13.54,27.08
T500067,2024-11-13,S104,C1140,P10028,1,Cash,0.0,8.49,8.49
T500068,2024-10-21,S103,C1160,P10017,2,Card,0.0,6.4,12.8
T500069,2024-11-09,S110,C1031,P10092,1,Card,0.0,4.23,4.23
T500070,2024-07-27,S103,C1151,P10005,1,Card,0.15,5.55,4.72
T500071,2024-12-20,S103,C1259,P10052,1,Card,0.0,12.8,12.8
T500072,2024-07-29,S103,C1215,P10081,1,Card,0.0,9.91,9.91
T500073,2024-07-10,S106,C1278,P10031,1,Card,0.0,7.31,7.31
T500074,2024-02-13,S103,C1284,P10041,2,Card,0.0,9.76,19.52
T500075,2024-01-29,S106,C1097,P10046,2,Card,0.0,14.9,29.8
T500076,2024-02-28,S103,C1029,P10030,1,Card,0.0,10.26,10.26
T500077,2024-03-11,S103,C1089,P10061,1,Card,0.0,10.04,10.04
T500078,2024-04-01,S103,C1147,P10055,1,Card,0.0,16.31,16.31
T500079,2024-09-21,S111,C1143,P10117,2,Cash,0.0,9.11,18.22
T500080,2024-08-07,S111,C1066,P10010,1,Cash,0.0,5.61,5.61
T500081,2024-08-02,S103,C1057,P10025,1,Cash,0.1,6.9,6.21
T500082,2024-10-03,S103,C1280,P10091,1,Card,0.0,5.71,5.71
T500083,2024-03-04,S102,C1278,P10026,1,Card,0.0,4.72,4.72
T500084,2024-12-11,S103,C1235,P10082,1,QR,0.05,7.38,7.01
T500085,2024-10-18,S103,C1127,P10056,1,QR,0.0,8.77,8.77
T500086,2024-09-01,S110,C1208,P10108,1,Card,0.0,6.49,6.49
T500087,2024-03-02,S111,C1185,P10026,1,QR,0.0,5.02,5.02
T500088,2024-11-27,S103,C1168,P10058,1,QR,0.0,11.42,11.42
T500089,2024-06-18,S103,C1171,P10061,1,Card,0.0,9.82,9.82
T500090,2024-09-25,S110,C1259,P10019,1,Cash,0.0,8.64,8.64
T500091,2024-09-23,S108,C1204,P10002,1,Card,0.0,14.52,14.52
T500092,2024-02-23,S100,C1134,P10015,1,Card,0.0,4.03,4.03
T500093,2024-01-16,S103,C1045,P10102,2,Cash,0.0,9.22,18.44
T500094,2024-01-08,S103,C1008,P10043,1,Card,0.0,7.89,7.89
T500095,2024-04-13,S103,C1160,P10092,2,Cash,0.0,4.13,8.26
T500096,2024-02-28,S103,C1288,P10078,1,Card,0.0,4.87,4.87
T500097,2024-11-08,S100,C1105,P10029,1,Cash,0.15,3.78,3.21
T500098,2024-02-09,S104,C1289,P10039,1,Card,0.0,7.32,7.32
T500099,2024-08-24,S103,C1087,P10118,1,Card,0.0,12.86,12.86
T500100,2024-04-03,S101,C1191,P10112,1,Card,0.0,5.56,5.56
T500101,2024-08-09,S103,C1152,P10064,2,Cash,0.05,16.14,30.67
T500102,2024-07-22,S108,C1136,P10028,2,Card,0.1,8.47,15.25
T500103,2024-05-17,S110,C1272,P10116,1,Card,0.1,9.41,8.47
T500104,2024-10-26,S103,C1148,P10029,1,Card,0.0,3.8,3.8
T500105,2024-07-25,S103,C1187,P10103,1,Cash,0.0,8.32,8.32
T500106,2024-12-01,S111,C1140,P10109,1,Cash,0.0,5.39,5.39
T500107,2024-03-21,S103,C1130,P10031,3,Cash,0.0,7.56,22.68
T500108,2024-08-05,S103,C1003,P10009,1,Card,0.0,5.76,5.76
T500109,2024-01-02,S103,C1262,P10090,4,Card,0.0,53.21,212.84
T500110,2024-06-26,S102,C1025,P10050,1,Cash,0.0,4.54,4.54
T500111,2024-12-11,S103,C1023,P10007,1,Cash,0.1,6.93,6.24
T500112,2024-10-05,S110,C1265,P10050,1,Card,0.0,4.36,4.36
T500113,2024-05-25,S103,C1228,P10035,2,Card,0.0,1.49,2.98
T500114,2024-11-13,S103,C1268,P10105,1,Card,0.0,12.39,12.39
T500115,2024-08-11,S111,C1124,P10054,1,Card,0.0,6.84,6.84
T500116,2024-03-02,S100,C1171,P10034,1,Cash,0.0,6.76,6.76
T500117,2024-10-20,S103,C1233,P10035,1,Cash,0.0,1.56,1.56
T500118,2024-08-26,S103,C1294,P10111,1,Card,0.0,7.72,7.72
T500119,2024-07-13,S103,C1274,P10055,1,Cash,0.0,16.4,16.4
T500120,2024-06-14,S100,C1075,P10035,2,Card,0.0,1.52,3.04
T500121,2024-08-09,S103,C1213,P10088,2,Card,0.0,6.87,13.74
T500122,2024-03-01,S104,C1157,P10083,1,Card,0.05,3.97,3.77
T500123,2024-05-08,S106,C1203,P10060,2,Cash,0.05,6.5,12.35
T500124,2024-06-21,S104,C1148,P10061,1,Cash,0.0,10.49,10.49
T500125,2024-06-04,S103,C1074,P10115,2,Cash,0.0,4.27,8.54
T500126,2024-04-19,S101,C1228,P10108,1,Card,0.0,6.57,6.57
T500127,2024-09-25,S103,C1061,P10116,1,Cash,0.0,10.02,10.02
T500128,2024-12-21,S101,C1057,P10080,1,Card,0.05,7.13,6.77
T500129,2024-10-04,S111,C1273,P10086,2,Card,0.0,6.43,12.86
T500130,2024-03-14,S103,C1107,P10024,1,QR,0.0,9.4,9.4
T500131,2024-07-25,S103,C1186,P10111,1,Cash,0.0,8.21,8.21
T500132,2024-10-05,S106,C1228,P10063,1,Cash,0.0,10.88,10.88
T500133,2024-11-21,S103,C1047,P10059,1,Cash,0.0,7.38,7.38
T500134,2024-12-05,S103,C1267,P10056,2,Card,0.0,9.08,18.16
T500135,2024-12-22,S109,C1214,P10112,1,Cash,0.0,5.49,5.49
T500136,2024-12-05,S110,C1289,P10094,3,Card,0.0,10.35,31.05
T500137,2024-07-22,S105,C1253,P10069,1,Card,0.0,7.84,7.84
T500138,2024-06-09,S100,C1086,P10098,1,Cash,0.1,3.86,3.47
T500139,2024-01-28,S103,C1180,P10051,2,Cash,0.0,4.7,9.4
T500140,2024-09-13,S106,C1024,P10055,2,Card,0.0,15.98,31.96
T500141,2024-06-13,S102,C1221,P10062,1,Cash,0.0,8.95,8.95
T500142,2024-03-03,S103,C1048,P10067,1,Cash,0.05,5.34,5.07
T500143,2024-01-22,S110,C1174,P10103,2,Card,0.0,8.04,16.08
T500144,2024-03-10,S100,C1273,P10019,1,Card,0.05,8.59,8.16
T500145,2024-04-05,S106,C1034,P10104,2,Cash,0.0,4.24,8.48
T500146,2024-06-11,S103,C1216,P10053,1,Card,0.0,7.99,7.99
T500147,2024-03-19,S103,C1208,P10000,3,Cash,0.0,6.68,20.04
T500148,2024-01-05,S100,C1159,P10108,1,Card,0.15,6.38,5.42
T500149,2024-11-11,S109,C1006,P10089,1,Card,0.0,33.64,33.64
T500150,2024-04-29,S103,C1268,P10097,1,Card,0.0,5.01,5.01
T500151,2024-10-28,S103,C1125,P10118,4,Card,0.0,12.6,50.4
T500152,2024-06-26,S105,C1089,P10009,2,Card,0.0,5.86,11.72
T500153,2024-06-24,S106,C1041,P10022,1,Card,0.2,3.75,3.0
T500154,2024-08-04,S111,C1158,P10050,1,Cash,0.0,4.36,4.36
T500155,2024-02-25,S103,C1201,P10112,1,Card,0.05,5.57,5.29
T500156,2024-12-31,S103,C1281,P10023,1,Card,0.0,2.92,2.92
T500157,2024-07-05,S111,C1287,P10012,1,Card,0.0,5.28,5.28
T500158,2024-08-19,S104,C1090,P10028,1,Card,0.0,8.41,8.41
T500159,2024-09-11,S103,C1124,P10057,1,Card,0.0,6.4,6.4
T500160,2024-04-13,S101,C1125,P10109,1,Cash,0.0,5.18,5.18
T500161,2024-03-17,S110,C1051,P10090,2,Card,0.0,52.27,104.54
T500162,2024-08-17,S103,C1102,P10094,1,Cash,0.0,10.39,10.39
T500163,2024-09-14,S104,C1186,P10042,1,Cash,0.05,4.19,3.98
T500164,2024-09-20,S103,C1204,P10009,1,Cash,0.0,5.72,5.72
T500165,2024-11-26,S103,C1013,P10030,1,Card,0.0,10.87,10.87
T500166,2024-06-30,S103,C1103,P10102,2,Cash,0.05,9.95,18.9
T500167,2024-09-12,S101,C1116,P10073,2,Card,0.0,4.46,8.92
T500168,2024-02-07,S103,C1092,P10087,1,Card,0.0,6.74,6.74
T500169,2024-06-24,S103,C1143,P10096,1,Cash,0.0,8.78,8.78
T500170,2024-01-27,S103,C1109,P10013,3,Cash,0.0,9.2,27.6
T500171,2024-10-02,S106,C1162,P10098,1,Cash,0.05,4.11,3.9
T500172,2024-05-19,S109,C1052,P10108,1,Card,0.0,6.92,6.92
T500173,2024-10-25,S106,C1002,P10033,2,Cash,0.0,6.14,12.28
T500174,2024-10-13,S100,C1067,P10016,1,Card,0.0,10.07,10.07
T500175,2024-03-31,S103,C1245,P10020,1,Cash,0.0,2.84,2.84
T500176,2024-03-01,S103,C1137,P10095,1,Card,0.0,6.23,6.23
T500177,2024-12-30,S111,C1286,P10066,1,Card,0.0,5.23,5.23
T500178,2024-12-12,S109,C1065,P10057,1,Card,0.0,6.35,6.35
T500179,2024-06-11,S110,C1154,P10078,1,Card,0.05,5.07,4.82
T500180,2024-12-16,S103,C1086,P10007,2,Card,0.0,7.14,14.28
T500181,2024-05-22,S103,C1032,P10095,1,Cash,0.0,6.36,6.36
T500182,2024-09-09,S103,C1067,P10037,1,QR,0.0,11.17,11.17
T500183,2024-09-25,S102,C1186,P10025,1,QR,0.0,7.02,7.02
T500184,2024-10-17,S100,C1191,P10063,2,Cash,0.0,10.02,20.04
T500185,2024-07-05,S111,C1212,P10029,1,Card,0.0,3.74,3.74
T500186,2024-10-30,S103,C1087,P10008,2,Card,0.0,4.21,8.42
T500187,2024-10-17,S103,C1107,P10031,2,QR,0.05,7.21,13.7
T500188,2024-03-26,S101,C1239,P10010,2,Card,0.0,5.98,11.96
T500189,2024-06-14,S111,C1215,P10085,1,Card,0.1,2.54,2.29
T500190,2024-04-23,S103,C1176,P10033,2,Cash,0.2,5.79,9.26
T500191,2024-12-21,S104,C1052,P10104,1,Card,0.0,4.3,4.3
T500192,2024-07-01,S110,C1048,P10017,1,Cash,0.05,6.4,6.08
T500193,2024-07-25,S103,C1113,P10018,1,Cash,0.0,10.45,10.45
T500194,2024-09-12,S104,C1094,P10053,3,QR,0.0,7.39,22.17
T500195,2024-08-22,S100,C1024,P10081,1,Cash,0.0,9.94,9.94
T500196,2024-12-20,S103,C1131,P10036,2,Card,0.0,4.68,9.36
T500197,2024-01-03,S109,C1178,P10081,1,Cash,0.1,9.7,8.73
T500198,2024-07-26,S106,C1144,P10011,1,Cash,0.0,10.22,10.22
T500199,2024-07-15,S103,C1197,P10003,1,Card,0.0,11.16,11.16
T500200,2024-12-06,S103,C1083,P10110,1,Cash,0.0,5.55,5.55
T500201,2024-05-04,S103,C1156,P10042,2,QR,0.0,4.16,8.32
T500202,2024-05-17,S100,C1084,P10026,2,Cash,0.0,4.94,9.88
T500203,2024-12-04,S103,C1252,P10050,1,Cash,0.05,4.52,4.29
T500204,2024-01-25,S103,C1071,P10004,1,Cash,0.05,13.56,12.88
T500205,2024-03-08,S103,C1222,P10005,1,Cash,0.0,5.78,5.78
T500206,2024-03-01,S108,C1275,P10076,1,Cash,0.0,3.38,3.38
T500207,2024-01-29,S103,C1282,P10086,1,Card,0.0,6.28,6.28
T500208,2024-01-19,S103,C1263,P10105,1,Card,0.0,11.98,11.98
T500209,2024-06-19,S103,C1245,P10055,3,Cash,0.0,17.55,52.65
T500210,2024-03-14,S110,C1060,P10088,1,Cash,0.05,6.91,6.56
T500211,2024-03-01,S103,C1258,P10109,2,Card,0.0,5.75,11.5
T500212,2024-06-01,S101,C1006,P10067,1,Card,0.0,5.14,5.14
T500213,2024-10-02,S103,C1187,P10115,1,Card,0.0,4.29,4.29
T500214,2024-02-17,S106,C1003,P10118,1,Card,0.0,13.42,13.42
T500215,2024-07-29,S103,C1230,P10095,2,Card,0.0,6.52,13.04
T500216,2024-12-08,S109,C1132,P10043,1,Card,0.15,8.56,7.28
T500217,2024-05-18,S111,C1124,P10014,2,Card,0.0,4.66,9.32
T500218,2024-04-19,S108,C1014,P10089,1,Cash,0.0,35.89,35.89
T500219,2024-07-01,S103,C1012,P10041,1,Cash,0.0,9.35,9.35
T500220,2024-01-28,S103,C1117,P10010,1,Card,0.05,5.73,5.44
T500221,2024-07-15,S100,C1239,P10072,1,Card,0.0,10.4,10.4
T500222,2024-07-09,S111,C1262,P10010,1,Cash,0.0,5.72,5.72
T500223,2024-11-10,S103,C1005,P10065,2,Card,0.0,2.44,4.88
T500224,2024-02-20,S102,C1230,P10108,2,Card,0.0,6.45,12.9
T500225,2024-05-28,S104,C1029,P10026,2,Card,0.0,4.84,9.68
T500226,2024-09-24,S103,C1021,P10117,2,Cash,0.1,9.45,17.01
T500227,2024-02-19,S103,C1155,P10057,3,Cash,0.0,5.97,17.91
T500228,2024-09-02,S103,C1117,P10089,3,Cash,0.0,36.45,109.35
T500229,2024-04-22,S103,C1192,P10071,1,Cash,0.0,1.69,1.69
T500230,2024-06-18,S109,C1194,P10020,1,Cash,0.0,2.84,2.84
T500231,2024-06-14,S103,C1167,P10020,1,Card,0.0,2.69,2.69
T500232,2024-01-14,S103,C1238,P10071,1,Card,0.0,1.69,1.69
T500233,2024-07-21,S103,C1243,P10000,3,Card,0.0,6.65,19.95
T500234,2024-10-14,S104,C1068,P10101,1,Card,0.0,6.8,6.8
T500235,2024-07-07,S107,C1094,P10057,1,Card,0.05,6.52,6.19
T500236,2024-06-03,S103,C1076,P10012,1,Cash,0.0,5.46,5.46
T500237,2024-02-24,S104,C1170,P10072,1,Cash,0.05,10.92,10.37
T500238,2024-06-30,S102,C1000,P10091,1,Cash,0.0,6.05,6.05
T500239,2024-07-28,S111,C1061,P10005,1,Card,0.0,5.75,5.75
T500240,2024-03-15,S103,C1206,P10110,-1,QR,0.0,5.66,-5.66
T500241,2024-10-03,S106,C1153,P10086,1,Card,0.0,6.26,6.26
T500242,2024-05-12,S100,C1273,P10111,1,Card,0.0,7.51,7.51
T500243,2024-12-08,S103,C1047,P10099,1,Card,0.0,9.61,9.61
T500244,2024-02-28,S103,C1136,P10057,1,Card,0.0,6.14,6.14
T500245,2024-12-10,S110,C1000,P10016,1,Card,0.0,11.1,11.1
T500246,2024-06-30,S103,C1234,P10072,1,Card,0.0,10.32,10.32
T500247,2024-12-04,S111,C1255,P10011,2,Card,0.05,9.74,18.51
T500248,2024-11-16,S103,C1106,P10085,1,Card,0.0,2.52,2.52
T500249,2024-03-04,S103,C1172,P10114,2,Card,0.0,18.4,36.8
T500250,2024-11-22,S101,C1129,P10051,2,QR,0.0,4.68,9.36
T500251,2024-09-16,S108,C1293,P10075,2,Card,0.0,12.31,24.62
T500252,2024-07-11,S103,C1039,P10117,1,Card,0.0,9.55,9.55
T500253,2024-05-22,S110,C1015,P10069,1,Card,0.0,7.77,7.77
T500254,2024-04-13,S110,C1126,P10107,1,Card,0.1,13.43,12.09
T500255,2024-08-01,S111,C1202,P10072,1,Card,0.0,10.41,10.41
T500256,2024-08-29,S103,C1133,P10051,3,Card,0.0,4.81,14.43
T500257,2024-07-27,S105,C1258,P10036,1,Cash,0.0,4.75,4.75
T500258,2024-04-02,S106,C1013,P10116,4,Card,0.05,9.8,37.24
T500259,2024-05-21,S101,C1065,P10002,2,Card,0.0,14.21,28.42
T500260,2024-04-21,S103,C1194,P10097,1,Card,0.0,5.3,5.3
T500261,2024-02-28,S100,C1113,P10007,2,Card,0.0,6.46,12.92
T500262,2024-02-12,S103,C1158,P10009,1,QR,0.0,5.96,5.96
T500263,2024-07-25,S102,C1160,P10046,1,Card,0.0,15.96,15.96
T500264,2024-09-24,S103,C1253,P10040,1,Cash,0.0,5.64,5.64
T500265,2024-10-22,S103,C1014,P10063,3,Card,0.0,10.68,32.04
T500266,2024-04-27,S103,C1036,P10041,1,Cash,0.1,9.64,8.68
T500267,2024-01-20,S104,C1154,P10042,2,Cash,0.0,4.3,8.6
T500268,2024-08-09,S101,C1026,P10008,1,QR,0.0,4.22,4.22
T500269,2024-06-14,S103,C1011,P10013,1,Card,0.0,9.75,9.75
T500270,2024-05-10,S103,C1066,P10100,1,Card,0.0,13.05,13.05
T500271,2024-06-04,S103,C1029,P10090,1,Cash,0.0,53.56,53.56
T500272,2024-07-02,S104,C1095,P10104,1,Cash,0.0,4.18,4.18
T500273,2024-03-30,S103,C1214,P10095,1,Card,0.05,6.5,6.18
T500274,2024-04-03,S106,C1193,P10003,2,Cash,0.0,10.93,21.86
T500275,2024-01-13,S103,C1134,P10001,1,Card,0.0,1.68,1.68
T500276,2024-11-17,S106,C1289,P10114,4,Card,0.0,17.69,70.76
T500277,2024-10-19,S103,C1031,P10096,1,Card,0.0,8.9,8.9
T500278,2024-08-17,S103,C1038,P10084,1,Cash,0.0,3.2,3.2
T500279,2024-11-17,S104,C1205,P10000,1,Card,0.0,6.49,6.49
T500280,2024-10-18,S100,C1042,P10107,1,Card,0.0,13.61,13.61
T500281,2024-01-26,S104,C1258,P10074,-3,Card,0.05,6.83,-19.47
T500282,2024-03-15,S104,C1248,P10064,2,Cash,0.0,16.93,33.86
T500283,2024-12-29,S103,C1073,P10045,2,Cash,0.0,2.84,5.68
T500284,2024-10-25,S101,C1295,P10058,2,Card,0.0,11.42,22.84
T500285,2024-05-29,S101,C1273,P10074,2,Card,0.05,7.25,13.77
T500286,2024-05-27,S110,C1189,P10006,1,Card,0.0,4.59,4.59
T500287,2024-01-08,S106,C1137,P10065,2,Cash,0.15,2.41,4.1
T500288,2024-01-29,S101,C1281,P10014,1,Card,0.0,4.9,4.9
T500289,2024-10-22,S103,C1165,P10071,1,Card,0.1,1.64,1.48
T500290,2024-07-27,S103,C1277,P10117,2,Cash,0.0,8.96,17.92
T500291,2024-05-07,S109,C1025,P10115,1,QR,0.0,4.08,4.08
T500292,2024-12-05,S100,C1072,P10046,2,Card,0.15,14.48,24.62
T500293,2024-04-25,S103,C1114,P10089,1,QR,0.0,36.6,36.6
T500294,2024-05-23,S110,C1050,P10039,2,Card,0.0,7.17,14.34
T500295,2024-11-13,S100,C1170,P10041,1,Cash,0.05,10.24,9.73
T500296,2024-08-22,S103,C1267,P10050,1,Card,0.0,4.28,4.28
T500297,2024-01-07,S111,C1002,P10034,1,Card,0.0,6.89,6.89
T500298,2024-02-14,S103,C1209,P10115,2,Card,0.0,4.11,8.22
T500299,2024-08-26,S103,C1114,P10109,1,Card,0.0,5.68,5.68
T500300,2024-06-03,S101,C1166,P10104,1,Card,0.05,4.13,3.92
T500301,2024-06-29,S100,C1264,P10040,1,Cash,0.0,5.28,5.28
T500302,2024-08-02,S103,C1226,P10084,1,Card,0.0,3.34,3.34
T500303,2024-03-28,S110,C1150,P10056,4,Cash,0.05,8.93,33.93
T500304,2024-09-12,S103,C1267,P10037,1,Cash,0.15,11.37,9.66
T500305,2024-03-13,S106,C1115,P10071,1,Card,0.0,1.64,1.64
T500306,2024-06-27,S110,C1087,P10106,1,Cash,0.0,8.03,8.03
T500307,2024-07-30,S103,C1241,P10095,1,Cash,0.0,6.48,6.48
T500308,2024-10-19,S103,C1039,P10007,1,Cash,0.05,7.01,6.66
T500309,2024-08-21,S103,C1181,P10107,2,Card,0.0,14.11,28.22
T500310,2024-08-26,S110,C1208,P10073,3,Cash,0.05,4.46,12.71
T500311,2024-08-10,S108,C1272,P10062,1,Card,0.2,8.45,6.76
T500312,2024-04-28,S101,C1118,P10086,1,Card,0.0,6.09,6.09
T500313,2024-11-08,S106,C1023,P10003,4,Cash,0.0,10.55,42.2
T500314,2024-09-20,S103,C1257,P10047,1,Card,0.0,4.51,4.51
T500315,2024-07-25,S110,C1091,P10051,1,Cash,0.0,4.75,4.75
T500316,2024-04-04,S101,C1160,P10037,1,Card,0.0,10.99,10.99
T500317,2024-08-09,S103,C1148,P10093,1,Card,0.0,8.04,8.04
T500318,2024-12-31,S110,C1116,P10104,2,Cash,0.0,3.9,7.8
T500319,2024-10-02,S103,C1052,P10086,3,Cash,0.15,6.19,15.78
T500320,2024-08-18,S103,C1044,P10004,1,Cash,0.0,14.27,14.27
T500321,2024-11-04,S101,C1264,P10084,2,Card,0.0,3.42,6.84
T500322,2024-04-28,S103,C1261,P10119,1,Cash,0.05,14.46,13.74
T500323,2024-09-24,S103,C1233,P10069,1,Cash,0.0,8.23,8.23
T500324,2024-09-29,S111,C1034,P10112,1,Cash,0.0,5.48,5.48
T500325,2024-03-04,S103,C1196,P10080,2,QR,0.0,7.3,14.6
T500326,2024-10-24,S103,C1024,P10088,1,Card,0.05,6.57,6.24
T500327,2024-12-15,S105,C1201,P10023,1,Cash,0.0,2.89,2.89
T500328,2024-01-11,S102,C1272,P10085,3,Cash,0.0,2.47,7.41
T500329,2024-04-07,S103,C1035,P10076,2,Card,0.15,3.44,5.85
T500330,2024-03-11,S106,C1222,P10016,4,Cash,0.0,10.03,40.12
T500331,2024-12-29,S110,C1276,P10077,1,QR,0.0,7.93,7.93
T500332,2024-02-27,S104,C1017,P10097,2,Cash,0.0,4.88,9.76
T500333,2024-10-16,S105,C1187,P10089,1,Cash,0.0,35.49,35.49
T500334,2024-09-07,S101,C1256,P10082,4,Card,0.0,7.08,28.32
T500335,2024-10-02,S111,C1141,P10025,3,Card,0.0,6.57,19.71
T500336,2024-02-19,S101,C1135,P10002,4,QR,0.05,14.16,53.81
T500337,2024-12-23,S106,C1078,P10001,3,Card,0.05,1.66,4.73
T500338,2024-08-03,S103,C1291,P10091,1,Card,0.0,6.06,6.06
T500339,2024-02-21,S111,C1061,P10001,2,Card,0.0,1.65,3.3
T500340,2024-09-27,S106,C1128,P10021,1,Card,0.0,2.7,2.7
T500341,2024-03-24,S106,C1297,P10070,2,Card,0.0,7.94,15.88
T500342,2024-10-19,S103,C1256,P10003,4,Cash,0.0,10.91,43.64
T500343,2024-05-05,S103,C1211,P10112,1,Cash,0.0,5.61,5.61
T500344,2024-10-22,S103,C1053,P10037,1,Cash,0.0,10.75,10.75
T500345,2024-03-12,S106,C1174,P10102,2,Card,0.0,9.77,19.54
T500346,2024-10-22,S101,C1099,P10083,1,Card,0.0,3.98,3.98
T500347,2024-08-23,S111,C1038,P10069,1,Cash,0.0,8.31,8.31
T500348,2024-02-25,S110,C1262,P10072,1,Card,0.0,11.17,11.17
T500349,2024-12-25,S103,C1149,P10051,1,Cash,0.0,4.72,4.72
T500350,2024-04-19,S109,C1120,P10030,1,Card,0.0,10.27,10.27
T500351,2024-07-10,S103,C1177,P10025,1,Card,0.0,6.77,6.77
T500352,2024-04-02,S103,C1119,P10035,1,Card,0.0,1.44,1.44
